id,year,CIF1_diff_at,CIF2_diff_at,CIF1_ratio_at,CIF2_ratio_at,CIF1_diff_true_at,CIF2_diff_true_at,CIF1_ratio_true_at,CIF2_ratio_true_at,hr_gender_true_at,givenage,scenario,model,independence,prop_sex_other,base_function,model_lab,obs,convergence_t1t1,convergence_t1t2,sdage,bias_CIF1_at,bias_CIF2_at,CIF1_true_at,CIF2_true_at,MCer_CIF1_at,MCer_CIF2_at,rel_bias_CIF1_at,rel_bias_CIF2_at,Rel_prec_CIF1_at,Rel_prec_CIF2_at,Coverage_CIF1_at,Coverage_CIF2_at,hr_gender_at,bias_hr_gender_at,female,simulation,average_bias_CIF2,average_bias_CIF1
43,1,-.0063323714,-.0051878863,.95941949,.70821458,-.0064293593,-.0048848055,.95578331,.7053135,.69999999,70,3,0,1,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.00069742888,.00073429628,.13897637,.011691473,.00041326883,.000040849383,.50183272,6.2806134,,,.95700002,.93000001,.70290041,.0029004074,1,nick,.0004782938,.000032952583
48,1,-.0061573409,-.0078684809,.96052772,.71552199,-.0064293593,-.0048848055,.95578331,.7053135,.69999999,70,3,1,1,PH_sex_other,Weibull,Approach b- Linear,2000,1000,1000,10,.00028572101,.0081980303,.13897637,.011691473,.0004133812,.00061803678,.20558964,70.119736,.027190793,1412.9647,.958,.213,.70897835,.0089783883,1,nick,.036987387,-.0028936239
53,1,-.00636301,-.0047991797,.95923835,.71032214,-.0064293593,-.0048848055,.95578331,.7053135,.69999999,70,3,2,1,PH_sex_other,Weibull,Approach c- Splines,2000,1000,1000,10,.00075605349,-.000066530476,.13897637,.011691473,.00041365181,.000065839406,.54401588,.56905121,.092670821,61.176014,.95499998,.93800002,.7050848,.0050848136,1,nick,.0015299352,.00017557039
58,1,-.0063057789,-.0051041911,.95945531,.71041429,-.0064293593,-.0048848055,.95578331,.7053135,.69999999,70,3,3,1,PH_sex_other,Weibull,Approach d- Splines/Int,2000,829,1000,10,.0008845671,.00068961817,.13897637,.011691473,.00045739397,.00013295727,.63648742,5.8984714,.77087587,196.34926,.79100001,.78100002,.7050128,.0050128247,1,nick,.0021406235,.000023918437
63,1,-.0063177412,-.0059818509,.95953196,.6740613,-.0055055842,-.0059454204,.96213639,.64132959,.63965797,70,4,0,1,Non_PH_sex_other,Weibull,Approach a- Attained,2000,988,988,10,-.00029692354,.0012374828,.13990013,.010630858,.00041611423,.000048799298,.21223962,11.640478,,,.94199997,.866,.67492539,.035267416,1,nick,.0038799692,-.00014478431
68,1,-.0061881877,-.0071494854,.96030688,.74979728,-.0055055842,-.0059454204,.96213639,.64132959,.63965797,70,4,1,1,Non_PH_sex_other,Weibull,Approach b- Linear,2000,1000,988,10,-.00068088429,.010008017,.13990013,.010630858,.0004138615,.00071346178,.48669308,94.141182,.060801417,1370.8848,.958,.264,.7486909,.10903292,1,nick,.048295703,-.0035429231
73,1,-.0063899993,-.0041804304,.95906842,.74814814,-.0055055842,-.0059454204,.96213639,.64132959,.63965797,70,4,2,1,Non_PH_sex_other,Weibull,Approach c- Splines,2000,1000,988,10,-.00015282945,.000693743,.13990013,.010630858,.00041400292,.000079764017,.10924181,6.5257478,.094993927,64.442841,.95200002,.917,.74805754,.10839956,1,nick,.0082443459,-.000059444719
78,1,-.006212696,-.0041522183,.96012306,.76269346,-.0055055842,-.0059454204,.96213639,.64132959,.63965797,70,4,3,1,Non_PH_sex_other,Weibull,Approach d- Splines/Int,2000,764,988,10,-.00027883114,.0017035617,.13990013,.010630858,.0004748448,.00015336362,.19930726,16.024687,.34767741,176.36115,.73000002,.69800001,.75748193,.11782396,1,nick,.0090781162,-.00048133379
83,1,-.0062035196,-.014457507,.96033531,.70993042,-.0057829022,-.014257275,.95968062,.70912504,.69999999,70,5,0,0,PH_sex_other,Non_exponential,Approach a- Attained,2000,1000,1000,10,.00024020286,.00038024591,.13764453,.03475786,.00041154036,.000094992487,.17450957,1.0939854,,,.94700003,.94800001,.70059222,.00059224764,1,nick,.0006417961,-.00046696316
88,1,-.0057388199,-.020834718,.96349519,.70722651,-.0057829022,-.014257275,.95968062,.70912504,.69999999,70,5,1,0,PH_sex_other,Non_exponential,Approach b- Linear,2000,1000,1000,10,-.00068498054,.016440829,.13764453,.03475786,.00041856314,.0015313905,.49764457,47.301041,1.7064625,1512.1174,.93699998,.156,.69479513,-.0052048322,1,nick,.026410121,-.0047513074
